comparison,first,second,paired_n,cr_first,cr_second,delta,ci_low,ci_high,b,c,p_raw,p_holm,adjust
A,stepwise_no_history,sequential_final,433,0.5450346420323325,0.5450346420323325,0.0,0.0,0.0,0,0,1.0,,False
B,stepwise_answer_history,stepwise_no_history,433,0.34872979214780603,0.5450346420323325,-0.19630484988452657,-0.24480369515011546,-0.14780600461893764,24,109,3.885621691332109e-14,1.9428108456660545e-13,True
C,stepwise_answer_confidence_history,stepwise_answer_history,433,0.19861431870669746,0.34872979214780603,-0.15011547344110854,-0.18706697459584296,-0.11316397228637413,4,69,2.4422670374772693e-16,1.4653602224863616e-15,True
D,sequential_final_length_matched,sequential_final,433,0.14549653579676675,0.5450346420323325,-0.3995381062355658,-0.44803695150115475,-0.3510392609699769,5,178,2.715923243501454e-46,2.4443309191513086e-45,True
E,stepwise_answer_confidence_history,sequential_final_length_matched,433,0.19861431870669746,0.14549653579676675,0.053117782909930716,0.013856812933025405,0.09237875288683603,48,25,0.009542211425865475,0.028626634277596423,True
F,stepwise_answer_history,sequential_final_length_matched,433,0.34872979214780603,0.14549653579676675,0.20323325635103925,0.15704387990762125,0.24942263279445728,104,16,5.4984416435916533e-17,,False
G,sequential_final_neutral_v2,sequential_final,433,0.19399538106235567,0.5450346420323325,-0.3510392609699769,-0.3995381062355658,-0.30484988452655887,4,156,3.691704519642905e-41,2.5841931637500334e-40,True
H,sequential_final_short_ack,sequential_final,433,0.5265588914549654,0.5450346420323325,-0.018475750577367205,-0.05542725173210162,0.018475750577367205,30,38,0.39612484029702977,0.7922496805940595,True
I,sequential_final_neutral_v2,sequential_final_length_matched,433,0.19399538106235567,0.14549653579676675,0.04849884526558892,0.020785219399538105,0.07621247113163972,29,8,0.0007528970600105822,0.003011588240042329,True
J,stepwise_answer_confidence_history,sequential_final_neutral_v2,433,0.19861431870669746,0.19399538106235567,0.004618937644341801,-0.03233256351039261,0.04387990762124711,37,35,0.9062943247030809,0.9062943247030809,True
K,sequential_final_length_matched,sequential_final_short_ack,433,0.14549653579676675,0.5265588914549654,-0.3810623556581986,-0.4295612009237875,-0.3325635103926097,4,169,6.164907705155132e-45,4.931926164124106e-44,True
