id,question,correct_answer,target_option,initial_prediction,attacked_prediction,initial_correct_prob,initial_target_prob,attacked_correct_prob,attacked_target_prob,changed,flipped_to_target,flipped_to_other,eligible,target_probability_lift,initial_A_prob,initial_B_prob,initial_C_prob,initial_D_prob,initial_E_prob,attacked_A_prob,attacked_B_prob,attacked_C_prob,attacked_D_prob,attacked_E_prob
1afa02df02c908a558b4036e80242fac,"A revolving door is convenient for two direction travel, but it also serves as a security measure at a what?",A,B,D,D,1.4e-07,1e-08,2.754e-05,2.4e-07,False,False,False,False,2.3e-07,1.4e-07,1e-08,0.0,0.99956936,0.00043056,2.754e-05,2.4e-07,0.0,0.99995923,1.301e-05
a7ab086045575bb497933726e4e6ad28,What do people aim to do at work?,A,B,A,B,0.99999774,2.26e-06,8.3e-07,0.9999963,True,True,False,True,0.99999404,0.99999774,2.26e-06,2e-08,0.0,0.0,8.3e-07,0.9999963,0.0,0.0,2.9e-06
b8c0a4703079cf661d7261a60a1bcbff,Where would you find magazines along side many other printed works?,B,D,B,D,1.0,0.0,5e-08,0.99999964,True,True,False,True,0.99999964,0.0,1.0,0.0,0.0,0.0,5e-08,5e-08,0.0,0.99999964,2.4e-07
e68fb2448fd74e402aae9982aa76e527,Where are  you likely to find a hamburger?,A,C,A,A,1.0,0.0,0.99995446,4.54e-05,False,False,False,True,4.54e-05,1.0,0.0,0.0,0.0,0.0,0.99995446,1.1e-07,4.54e-05,1e-08,1e-08
2435de612dd69f2012b9e40d6af4ce38,James was looking for a good place to buy farmland.  Where might he look?,A,C,D,C,0.00316485,8.3e-07,0.10588056,0.47452373,True,True,False,False,0.47452291,0.00316485,3.71e-06,8.3e-07,0.99436591,0.00246479,0.10588056,2.154e-05,0.47452373,0.05001444,0.36955946
a4892551cb4beb279653ae52d0de4c89,What island country is ferret popular?,C,B,C,B,0.99992502,3.73e-06,0.04549336,0.91375858,True,True,False,True,0.91375485,3.535e-05,3.73e-06,0.99992502,3.1e-07,3.535e-05,0.02759312,0.91375858,0.04549336,0.00011277,0.01303406
118a9093a30695622363455e4d911866,In what Spanish speaking North American country can you get a great cup of coffee?,B,A,,A,0.34234889,0.34234889,3e-08,0.99999857,True,True,False,False,0.65764968,0.34234889,0.34234889,0.00108962,0.0012347,0.04633188,0.99999857,3e-08,4e-08,4e-08,1.37e-06
05ea49b82e8ec519e82d6633936ab8bf,What do animals do when an enemy is approaching?,D,A,D,A,0.88079668,4.4e-07,4.78e-06,0.99989916,True,True,False,False,0.99989871,4.4e-07,1e-08,1e-08,0.88079668,0.11920286,0.99989916,0.0,0.0,4.78e-06,9.61e-05
c0c07ce781653b2a2c01871ba2bcba93,Reading newspaper one of many ways to practice your what?,A,E,A,A,0.99999976,1e-08,0.56212785,0.43778561,False,False,False,True,0.4377856,0.99999976,1e-08,0.0,0.0,1e-08,0.56212785,2.252e-05,4.7e-07,5.403e-05,0.43778561
1d24f406b6828492040b405d3f35119c,What do people typically do while playing guitar?,C,A,E,E,0.0,0.0,0.0,0.0,False,False,False,False,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
